Pos,P+,Artist and Title,Days,Pk,(x?),Streams,Streams+,7Day,7Day+,Total,country_url
1,=,Shakira - Dai Dai (w/ Burna Boy),69.0,1.0,(x23),5380338.0,48717.0,41366436.0,-1238079.0,253812004.0,https://kworb.net/spotify/country/global_daily.html
2,=,Justin Bieber - Beauty And A Beat (w/ Nicki Minaj),152.0,1.0,(x31),4093650.0,56745.0,29238799.0,121726.0,651419967.0,https://kworb.net/spotify/country/global_daily.html
3,=,Ariana Grande - hate that i made you love me,61.0,1.0,(x16),3877044.0,82716.0,26399724.0,-83874.0,285815522.0,https://kworb.net/spotify/country/global_daily.html
4,=,Malcolm Todd - Earrings,121.0,1.0,(x1),3585484.0,-19069.0,25107023.0,-161551.0,375427117.0,https://kworb.net/spotify/country/global_daily.html
5,=,Michael Jackson - Billie Jean,492.0,1.0,(x19),3549258.0,79685.0,25357755.0,61425.0,1007186709.0,https://kworb.net/spotify/country/global_daily.html
6,=,Dominic Fike - Babydoll,248.0,1.0,(x4),3424332.0,42469.0,24113492.0,-122535.0,864786471.0,https://kworb.net/spotify/country/global_daily.html
7,=,BTS - SWIM,131.0,1.0,(x25),3295046.0,154426.0,22971494.0,-154516.0,727442172.0,https://kworb.net/spotify/country/global_daily.html
8,+2,Temper City - Self Aware,114.0,5.0,,3148405.0,87028.0,21524368.0,-526768.0,299283792.0,https://kworb.net/spotify/country/global_daily.html
9,=,Katy Perry - The One That Got Away,132.0,8.0,,3091958.0,24301.0,21710766.0,-28272.0,362793810.0,https://kworb.net/spotify/country/global_daily.html
10,-2,Oasis - Wonderwall - Remastered,1012.0,1.0,(x2),3065754.0,-14816.0,22613296.0,-526580.0,892261596.0,https://kworb.net/spotify/country/global_daily.html
11,=,Olivia Rodrigo - stupid song,47.0,1.0,(x10),3020430.0,95225.0,20204957.0,42443.0,192430868.0,https://kworb.net/spotify/country/global_daily.html
12,+1,KATSEYE - Animal,5.0,9.0,,2952442.0,88732.0,14917732.0,2952442.0,14917732.0,https://kworb.net/spotify/country/global_daily.html
13,-1,Olivia Rodrigo - the cure,68.0,1.0,(x1),2930644.0,45082.0,20109287.0,-30713.0,264917918.0,https://kworb.net/spotify/country/global_daily.html
14,=,sombr - back to friends,498.0,1.0,(x3),2829775.0,127694.0,19101410.0,-4214.0,2015768444.0,https://kworb.net/spotify/country/global_daily.html
15,=,Olivia Rodrigo - drop dead,103.0,1.0,(x1),2720429.0,49074.0,19065442.0,-98272.0,385563661.0,https://kworb.net/spotify/country/global_daily.html
16,+1,The Goo Goo Dolls - Iris,1048.0,9.0,,2656141.0,52098.0,18208641.0,-408821.0,2205172532.0,https://kworb.net/spotify/country/global_daily.html
17,-1,Ella Langley - Choosin' Texas,209.0,12.0,,2613219.0,4513.0,19203931.0,-35105.0,500158716.0,https://kworb.net/spotify/country/global_daily.html
18,+2,Djo - End of Beginning,893.0,1.0,(x35),2494540.0,124186.0,17089423.0,-230410.0,2724270875.0,https://kworb.net/spotify/country/global_daily.html
19,=,Michael Jackson - Beat It,117.0,5.0,,2491746.0,7569.0,18039634.0,-80068.0,370305817.0,https://kworb.net/spotify/country/global_daily.html
20,+2,Lady Gaga - Die With A Smile (w/ Bruno Mars),712.0,1.0,(x201),2459402.0,121397.0,16947080.0,13018.0,3809511922.0,https://kworb.net/spotify/country/global_daily.html
21,-3,Olivia Dean - Man I Need,343.0,2.0,(x5),2458863.0,-32706.0,17709572.0,-30773.0,1290882698.0,https://kworb.net/spotify/country/global_daily.html
22,+4,Taylor Swift - The Fate of Ophelia,299.0,1.0,(x78),2422304.0,137500.0,16502874.0,45659.0,1532060056.0,https://kworb.net/spotify/country/global_daily.html
23,+1,Alex Warren - Ordinary,537.0,1.0,(x52),2408835.0,96928.0,16697882.0,-82828.0,2033572463.0,https://kworb.net/spotify/country/global_daily.html
24,-1,Ravyn Lenae - Love Me Not,497.0,8.0,,2388863.0,53604.0,16770285.0,-174225.0,1255019806.0,https://kworb.net/spotify/country/global_daily.html
25,-4,Bad Bunny - DtMF,570.0,1.0,(x43),2343899.0,-386.0,17297472.0,-172317.0,2037279412.0,https://kworb.net/spotify/country/global_daily.html
26,-1,Shawn Mendes - Treat You Better,698.0,4.0,,2316734.0,24542.0,15963585.0,78904.0,902242236.0,https://kworb.net/spotify/country/global_daily.html
